000016.00 Jx14 
000026.00 Jx15S
000036.50 Jx15S
000047.00 Jx15S
000057.00 Jx15L
000068.00 Jx17L
000079.00 Jx17L
000080.00   00L
000094.50 Jx13S
000105.00 Jx13S
000115.00 Jx14S
000125.50 Jx14S
000135.00 Jx13L
000145.50 Jx15 
000155.50 Jx14 
000166.50 Jx15L
000175.50 Jx13L
000187.00 Jx16L
000195.50 Jx14L
000207.50 Jx16L
000216.00 Jx15L
000226.00 Jx14L
000238.00 Jx18L
000246.00 Jx14S
000256.50 Jx16L
000265.50 Jx13 
000277.50 Jx17L
000288.50 Jx17L
000295.00 Jx14L
000304.00 Bx12S
000316.50 Jx15 
000326.00 Jx15 
000336.50 Jx16 
000344.50 Jx13 
000357.00 Jx16S
000365.00 Jx14 
000374.50 Jx12L
000380.00 Jx14 
000395.00 Jx13 
000400.00 Jx00 
000415.50 Jx13S
000424.50 Bx13 
000434.50 Bx13S
000445.50 Bx13S
000458.00 Jx16L
000467.50 Jx16S
000478.50 Jx18L
000485.50 Jx15S
000506.00 Jx16L
000515.50 Jx15L
000527.00 Jx16 
0005310.00Jx18L
000549.00 Jx16L
000557.00 Jx17L
000565.00 Bx13S
000577.50 Jx16 
000587.50 Jx17 
000594.50 Bx13L
000606.50 Jx16S
000626.00 Jx16S
000634.00 Bx13S
000645.50 Jx16L
000650.00   14L
000660.00 Bx13 
000670.00 Jx14L
000685.00 Bx14S
000697.00 Jx15 
000705.00 Bx14L
000710.00 Jx15S
000725.00 Jx15S
000735.00 Jx15L
000740.00 Jx16L
000750.00 Jx17L
000760.00 Jx18L
000779.50 Jx17L
000789.00 Jx18L
000790.00   14 
000818.00 Jx16S
000827.50 Jx18L
000830.00 Jx15L
000856.00 Jx16 
000865.50 Bx13L
000877.20 Jx16L
000884.50 Jx13L
000890.00   16S
000900.00   16L
000916.00 Jx13L
000920.00 Jx14S
000930.00   00S
000940.00   15S
000953.50 Jx15S
000969.50 Jx18L
000974.00 Bx13L
001000.00 Jx13S
001010.00 Jx13L
001025.50 Jx16S
001048.00 Jx16 
001056.50 Jx17 
001067.50 Jx15L
001138.00 JX17L
